"BOL #","CN #","Vendor","Port of Discharge ","Destination City","Destination State","Destination Country","ETA Date/Time","ETA Time Zone","Customs Clearance Status Date/Time","Customs Clearance Status Time Zone","Customs Clearance Status","B/L Status","Latest Container Event ","Latest Container Event Date/Time","Latest Container Event Time Zone","Latest Container Event Location"
="6160598210","CXDU122177-4","Tianjin Wanda Tyre Group Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","","","","","","","Full Container Received by Carrier at Origin","05/04/2018 16:59","CDT","Tianjin Port Pacific Int'l Ctn Tml, Xingang, Tianjin, China",
="6179524840","TCNU557797-9","Guangdong Foreign Trade Import & Export Company Limited","Long Beach","Memphis","Tennessee","United States","(Estimated)","","","","Held","Not Released","Vessel Departure at Transshipment Port","05/03/2018 11:00","CDT","Ningbo, Ningbo, Zhejiang, China",
="6179524840","TLLU447704-5","Guangdong Foreign Trade Import & Export Company Limited","Long Beach","Memphis","Tennessee","United States","(Estimated)","","","","Held","Not Released","Vessel Departure at Transshipment Port","05/03/2018 11:00","CDT","Ningbo, Ningbo, Zhejiang, China",
="6182545470","TRHU168632-1","Hebei Xingyue Braking Element Company Limited","Prince Rupert","Memphis","Tennessee","United States","(Estimated)","","","","Held","Not Released","Discharged at Port of Transhipment","05/04/2018 10:50","CDT","Qingdao, Qingdao, Shandong, China",
="6179510690","CBHU816926-2","Guangdong Foreign Trade Import & Export Company Limited","Prince Rupert","Memphis","Tennessee","United States","04/28/2018 1:53 (Actual)","CDT","04/26/2018 14:49","Local","Cleared","Not Released","Empty Container Returned to Carrier at Destination","05/01/2018 15:57","CDT","Intermodal Cartage, Memphis, Tennessee, United States",
="6179314700","TLLU448613-4","Qingdao Crowntyre Industrial Company Limited","Long Beach","Memphis","Tennessee","United States","05/03/2018 11:53 (Actual)","CDT","04/16/2018 13:24","Local","Cleared","Not Released","Empty Container Returned to Carrier at Destination","05/04/2018 16:52","CDT","Intermodal Cartage, Memphis, Tennessee, United States",
="6160585160","TCNU618121-5","Tianjin Wanda Tyre Group Company Limited","Prince Rupert","Memphis","Tennessee","United States","05/03/2018 21:21 (Actual)","CDT","05/01/2018 11:49","Local","Cleared","Not Released","Last Deramp Under I/B","05/04/2018 2:31","CDT","CN (Memphis), Memphis, Tennessee, United States",
="6181479400","CCLU390095-0","Intradin Huzhou Hardware Co., Ltd","Prince Rupert","Memphis","Tennessee","United States","05/03/2018 21:21 (Actual)","CDT","05/02/2018 13:59","Local","Cleared","Not Released","Last Deramp Under I/B","05/04/2018 5:48","CDT","CN (Memphis), Memphis, Tennessee, United States",
="6160585170","TCNU938972-7","Tianjin Wanda Tyre Group Company Limited","Long Beach","Memphis","Tennessee","United States","05/06/2018 16:00 (Actual)","CDT","04/24/2018 13:54","Local","Cleared","Not Released","Last Deramp Under I/B","05/06/2018 19:31","CDT","Union Pacific Railway - Marion, Memphis, Tennessee, United States",
="6160585180","TCNU659847-2","Tianjin Wanda Tyre Group Company Limited","Long Beach","Memphis","Tennessee","United States","05/06/2018 16:00 (Actual)","CDT","04/24/2018 14:04","Local","Cleared","Not Released","Last Deramp Under I/B","05/06/2018 19:37","CDT","Union Pacific Railway - Marion, Memphis, Tennessee, United States",
="6179359100","TEMU320999-9","Changyi Youxing Casting Company Limited","Prince Rupert","Memphis","Tennessee","United States","05/09/2018 8:00 (Estimated)","CDT","","","Held","Not Released","First Loaded on Rail Under I/B","05/01/2018 12:57","CDT","CN Prince Rupert, Prince Rupert, British Columbia, Canada",
="6160592460","CCLU688295-2","Tianjin Wanda Tyre Group Company Limited","Prince Rupert","Memphis","Tennessee","United States","05/11/2018 8:00 (Estimated)","CDT","","","Held","Not Released","First Loaded on Rail Under I/B","05/01/2018 18:39","CDT","CN Prince Rupert, Prince Rupert, British Columbia, Canada",
="6160585150","MAGU536349-3","Tianjin Wanda Tyre Group Company Limited","Long Beach","Memphis","Tennessee","United States","05/12/2018 7:00 (Estimated)","CDT","","","Held","Not Released","Discharged from Vessel at Last Port of Discharge","05/04/2018 13:04","CDT","Long Beach, Long Beach, California, United States",
="6179335990","TCNU617717-5","Qingdao Qihang Tyre Company Limited","Long Beach","Memphis","Tennessee","United States","05/12/2018 7:00 (Estimated)","CDT","","","Held","Not Released","Discharged from Vessel at Last Port of Discharge","05/05/2018 1:30","CDT","Long Beach, Long Beach, California, United States",
="6160592450","TCNU657533-2","Tianjin Wanda Tyre Group Company Limited","Long Beach","Memphis","Tennessee","United States","05/14/2018 7:00 (Estimated)","CDT","","","Held","Not Released","Intermodal Departure from Last Port of Discharge","05/06/2018 17:32","CDT","Long Beach, Long Beach, California, United States",
="6181441580","TEMU013800-0","Hangzhou Skye Vehicle Parts. Co., Ltd.","Charleston","Loris","South Carolina","United States","05/14/2018 12:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at First POL","04/12/2018 23:22","CDT","Shanghai, Shanghai, CHINA",
="6181441580","DFSU119674-0","Hangzhou Skye Vehicle Parts. Co., Ltd.","Charleston","Loris","South Carolina","United States","05/14/2018 12:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at First POL","04/12/2018 23:22","CDT","Shanghai, Shanghai, CHINA",
="6160593130","BSIU956318-9","Tianjin Wanda Tyre Group Company Limited","Prince Rupert","Memphis","Tennessee","United States","05/16/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Discharged from Vessel at Last Port of Discharge","05/06/2018 16:41","CDT","Prince Rupert, Prince Rupert, British Columbia, Canada",
="6179390070","TCKU257611-0","Changyi Youxing Casting Company Limited","Prince Rupert","Memphis","Tennessee","United States","05/16/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Discharged from Vessel at Last Port of Discharge","05/06/2018 17:40","CDT","Prince Rupert, Prince Rupert, British Columbia, Canada",
="6160593110","CCLU797283-4","Tianjin Wanda Tyre Group Company Limited","Long Beach","Memphis","Tennessee","United States","05/20/2018 7:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at First POL","04/19/2018 2:32","CDT","Xingang, Xingang, Tianjin, China",
="6160593120","TCNU228429-9","Tianjin Wanda Tyre Group Company Limited","Long Beach","Memphis","Tennessee","United States","05/20/2018 7:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at First POL","04/19/2018 2:32","CDT","Xingang, Xingang, Tianjin, China",
="6181625210","TCIU455408-8","Iti Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","05/23/2018 8:00 (Estimated)","CDT","","","","","Empty Container Picked Up","04/26/2018 6:11","CDT","Shanghai Lichang Warehouse& Tspt Co, Shanghai, Shanghai, China",
="6181628000","CBHU598224-2","Hangzhou Skye Vehicle Parts. Co., Ltd.","Los Angeles","Hewitt","Texas","United States","05/23/2018 16:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at First POL","04/27/2018 11:05","CDT","Shanghai, Shanghai, CHINA",
="6182529680","SEGU303576-1","Hebei Xingyue Braking Element Company Limited","Norfolk","Lexington","North Carolina","United States","05/25/2018 15:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at Transshipment Port","04/24/2018 10:55","CDT","Busan, Busan, South Korea",
="6160595830","CCLU663506-3","Tianjin Wanda Tyre Group Company Limited","Prince Rupert","Memphis","Tennessee","United States","05/26/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at First POL","04/25/2018 23:00","CDT","Xingang, Xingang, Tianjin, China",
="6160596190","CBHU705070-4","Tianjin Wanda Tyre Group Company Limited","Prince Rupert","Memphis","Tennessee","United States","05/26/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at First POL","04/25/2018 23:00","CDT","Xingang, Xingang, Tianjin, China",
="6179518010","FSCU879069-9","Guangdong Foreign Trade Import & Export Company Limited","Prince Rupert","Memphis","Tennessee","United States","05/27/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Discharged at Port of Transhipment","04/21/2018 4:14","CDT","Ningbo, Ningbo, Zhejiang, China",
="6179518010","TCNU137006-8","Guangdong Foreign Trade Import & Export Company Limited","Prince Rupert","Memphis","Tennessee","United States","05/27/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Discharged at Port of Transhipment","04/21/2018 4:14","CDT","Ningbo, Ningbo, Zhejiang, China",
