"Bill of Lading Number","Booking Number","Booking Status*","Shipper","Port of Load ","Port of Discharge ","Destination City","B/L Vessel Voyage","Departure at First Port of Load Date","Departure at First Port of Load Estimated/Actual","Arrival at Final Destination Hub Date","Arrival at Final Destination Hub Estimated/Actual","Intermodal Departure from Last Port of Discharge Date","Intermodal Departure from Last Port of Discharge Location","Latest Container Event ","Latest Container Event Date","Latest Container Event Location","Carrier Released Date","Carrier Released Location","B/L Freight Clearance Status (B/L Level) Date","B/L Freight Clearance Status (B/L Level)","Inbound Customs Clearance Status (B/L Level) Date","Inbound Customs Clearance Status (B/L Level)","Container Number","Container Size/Type"
="6179359100",="6179359100","Confirmed*","Changyi Youxing Casting Company Limited","Qingdao","Prince Rupert","Memphis","CSCL SUMMER-015-East","04/15/2018","Actual","05/09/2018","Estimated","","","Loaded at Port of Transhipment","04/20/2018","Shanghai, Shanghai","","","","","","Held","TEMU320999-9","20GP",
="6179390070",="6179390070","Confirmed*","Changyi Youxing Casting Company Limited","Qingdao","Prince Rupert","Memphis","COSCO FORTUNE-041-East","04/22/2018","Actual","05/19/2018","Estimated","","","Vessel Departure at First POL","04/22/2018","Qingdao, Qingdao","","","","","","Held","TCKU257611-0","20GP",
="",="6179386310","Confirmed*","Changyi Youxing Casting Company Limited","Qingdao (Intended)","Prince Rupert (Intended)","Memphis","","05/04/2018","Estimated","05/30/2018","Estimated","","","Container Arrival at First Port of Load","04/29/2018","Qingdao, Qingdao","","","","","","","DFSU156558-2","20GP",
="6179510690",="6179510690","Wait Listed*","Guangdong Foreign Trade Import & Export Company Limited","Zhapu","Prince Rupert","Memphis","COSCO PACIFIC-053-North","03/25/2018","Actual","04/28/2018","Actual","04/20/2018","Prince Rupert, Prince Rupert","Last Deramp Under I/B","04/28/2018","CN (Memphis), Memphis","04/27/2018","Prince Rupert","04/27/2018","Cleared","04/26/2018","Cleared","CBHU816926-2","40HQ",
="6179518010",="6179518010","Wait Listed*","Guangdong Foreign Trade Import & Export Company Limited","Zhapu","Prince Rupert","Memphis","XIN BEIJING-104-North","04/20/2018","Actual","","Estimated","","","Discharged at Port of Transhipment","04/21/2018","Ningbo, Ningbo","","","","Not Cleared","","Held","TCNU137006-8","40HQ",
="6179518010",="6179518010","Wait Listed*","Guangdong Foreign Trade Import & Export Company Limited","Zhapu","Prince Rupert","Memphis","XIN BEIJING-104-North","04/20/2018","Actual","","Estimated","","","Discharged at Port of Transhipment","04/21/2018","Ningbo, Ningbo","","","","Not Cleared","","Held","FSCU879069-9","40HQ",
="6179522280",="6179522280","Wait Listed*","Guangdong Foreign Trade Import & Export Company Limited","Zhapu","Prince Rupert","Memphis","XIN BEIJING-104-North","04/22/2018","Actual","05/27/2018","Estimated","","","Discharged at Port of Transhipment","04/26/2018","Ningbo, Ningbo","","","","Not Cleared","","Held","TLLU487706-2","40HQ",
="",="6179524840","Wait Listed*","Guangdong Foreign Trade Import & Export Company Limited","Zhapu (Intended)","Long Beach (Intended)","Memphis","","04/28/2018","Actual","","","","","Loaded on Board at First Port of Load","04/29/2018","Zhapu, Zhapu","","","","","","","TLLU447704-5","40HQ",
="",="6179524840","Wait Listed*","Guangdong Foreign Trade Import & Export Company Limited","Zhapu (Intended)","Long Beach (Intended)","Memphis","","04/28/2018","Actual","","","","","Loaded on Board at First Port of Load","04/29/2018","Zhapu, Zhapu","","","","","","","TCNU557797-9","40HQ",
="6181142300",="6181142300","Confirmed*","Hangzhou Skye Vehicle Parts. Co., Ltd.","Shanghai","Charleston","Loris","OOCL BERLIN-022-East","03/15/2018","Actual","04/23/2018","Estimated","","","Empty Container Returned to Carrier at Destination","04/25/2018","SC State PA-Wando Welch Tml, Charleston","04/11/2018","Charleston","","Cleared","04/11/2018","Cleared","CSLU115803-5","20GP",
="6181441580",="6181441580","Confirmed*","Hangzhou Skye Vehicle Parts. Co., Ltd.","Shanghai","Charleston","Loris","COSCO GLORY-043-East","04/13/2018","Actual","05/14/2018","Estimated","","","Vessel Departure at First POL","04/13/2018","Shanghai, Shanghai","","","04/16/2018","Cleared","","Held","DFSU119674-0","20GP",
="6181441580",="6181441580","Confirmed*","Hangzhou Skye Vehicle Parts. Co., Ltd.","Shanghai","Charleston","Loris","COSCO GLORY-043-East","04/13/2018","Actual","05/14/2018","Estimated","","","Vessel Departure at First POL","04/13/2018","Shanghai, Shanghai","","","04/16/2018","Cleared","","Held","TEMU013800-0","20GP",
="6181628000",="6181628000","Confirmed*","Hangzhou Skye Vehicle Parts. Co., Ltd.","Shanghai","Los Angeles","Hewitt","IRENES WAVE-010-East","04/28/2018","Actual","05/21/2018","Estimated","","","Vessel Departure at First POL","04/28/2018","Shanghai, Shanghai","","","04/28/2018","Cleared","","Held","CBHU598224-2","20GP",
