"BOL #","CN #","Vendor","Port of Discharge ","Destination City","Destination State","Destination Country","ETA Date/Time","ETA Time Zone","Customs Clearance Status Date/Time","Customs Clearance Status Time Zone","Customs Clearance Status","B/L Status","Latest Container Event ","Latest Container Event Date/Time","Latest Container Event Time Zone","Latest Container Event Location","Container Size/Type"
="6160596710","TGHU685374-9","Tianjin Wanda Tyre Group Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","","","","","","","Container Arrival at First Port of Load","05/23/2018 16:49","CDT","Xingang, Xingang, Tianjin, China","40HQ",
="6160597350","TEMU628934-4","Tianjin Wanda Tyre Group Company Limited","Prince Rupert","Memphis","Tennessee","United States","(Estimated)","","","","Held","Not Released","Vessel Departure at First POL","05/22/2018 3:00","CDT","Xingang, Xingang, Tianjin, China","40HQ",
="6160597360","BMOU439963-1","Tianjin Wanda Tyre Group Company Limited","Prince Rupert","Memphis","Tennessee","United States","(Estimated)","","","","Held","Not Released","Vessel Departure at First POL","05/22/2018 3:00","CDT","Xingang, Xingang, Tianjin, China","40HQ",
="6160598210","CXDU122177-4","Tianjin Wanda Tyre Group Company Limited","Prince Rupert","Memphis","Tennessee","United States","(Estimated)","","","","Held","Not Released","Vessel Departure at Transshipment Port","05/13/2018 2:36","CDT","Qingdao, Qingdao, Shandong, China","40HQ",
="6181441580","DFSU119674-0","Hangzhou Skye Vehicle Parts. Co., Ltd.","Charleston","Loris","South Carolina","United States","(Estimated)","","05/10/2018 15:54","Local","Cleared","Not Released","Empty Container Returned to Carrier at Destination","05/24/2018 5:04","CDT","SC State PA-Wando Welch Tml, Charleston, South Carolina, United States","20GP",
="6181441580","TEMU013800-0","Hangzhou Skye Vehicle Parts. Co., Ltd.","Charleston","Loris","South Carolina","United States","(Estimated)","","05/10/2018 15:54","Local","Cleared","Not Released","Empty Container Returned to Carrier at Destination","05/24/2018 9:55","CDT","SC State PA-Wando Welch Tml, Charleston, South Carolina, United States","20GP",
="6182545470","TRHU168632-1","Hebei Xingyue Braking Element Company Limited","Prince Rupert","Memphis","Tennessee","United States","(Estimated)","","","","Held","Not Released","Vessel Departure at Transshipment Port","05/13/2018 2:36","CDT","Qingdao, Qingdao, Shandong, China","20GP",
="6160585150","MAGU536349-3","Tianjin Wanda Tyre Group Company Limited","Long Beach","Memphis","Tennessee","United States","05/16/2018 23:43 (Actual)","CDT","05/16/2018 23:43","Local","Cleared","Not Released","Empty Container Returned to Carrier at Destination","05/21/2018 9:17","CDT","CN (Memphis), Memphis, Tennessee, United States","40HQ",
="6181628000","CBHU598224-2","Hangzhou Skye Vehicle Parts. Co., Ltd.","Los Angeles","Hewitt","Texas","United States","05/22/2018 9:33 (Actual)","CDT","05/15/2018 12:20","Local","Cleared","Not Released","Empty Container Returned to Carrier at Destination","05/24/2018 11:45","CDT","BNSF (Alliance), Dallas, Texas, United States","20GP",
="6160595830","CCLU663506-3","Tianjin Wanda Tyre Group Company Limited","Prince Rupert","Memphis","Tennessee","United States","05/23/2018 10:28 (Actual)","CDT","05/22/2018 10:00","Local","Cleared","Not Released","Picked up at Final Destination for Delivery","05/24/2018 11:27","CDT","CN (Memphis), Memphis, Tennessee, United States","40HQ",
