"Bill of Lading Number","Booking Number","Booking Status*","Shipper","Port of Load ","Port of Discharge ","Destination City","B/L Vessel Voyage","Departure at First Port of Load Date","Departure at First Port of Load Estimated/Actual","Arrival at Final Destination Hub Date","Arrival at Final Destination Hub Estimated/Actual","Intermodal Departure from Last Port of Discharge Date","Intermodal Departure from Last Port of Discharge Location","Latest Container Event ","Latest Container Event Date","Latest Container Event Location","Carrier Released Date","Carrier Released Location","B/L Freight Clearance Status (B/L Level) Date","B/L Freight Clearance Status (B/L Level)","Inbound Customs Clearance Status (B/L Level) Date","Inbound Customs Clearance Status (B/L Level)","Container Number","Container Size/Type"
="6179359100",="6179359100","Confirmed*","Changyi Youxing Casting Company Limited","Qingdao","Prince Rupert","Memphis","CSCL SUMMER-015-East","04/15/2018","Actual","05/09/2018","Actual","05/01/2018","Prince Rupert, Prince Rupert","Picked up at Final Destination for Delivery","05/11/2018","CN (Memphis), Memphis","05/10/2018","Prince Rupert","05/08/2018","Cleared","05/07/2018","Cleared","TEMU320999-9","20GP",
="6179390070",="6179390070","Confirmed*","Changyi Youxing Casting Company Limited","Qingdao","Prince Rupert","Memphis","COSCO FORTUNE-041-East","04/22/2018","Actual","05/17/2018","Estimated","05/07/2018","Prince Rupert, Prince Rupert","Intermodal Departure from Last Port of Discharge","05/07/2018","Prince Rupert, Prince Rupert","","","","","","Held","TCKU257611-0","20GP",
="6179386310",="6179386310","Confirmed*","Changyi Youxing Casting Company Limited","Qingdao","Prince Rupert","Memphis","CSCL BOHAI SEA-016-East","05/05/2018","Actual","06/01/2018","Estimated","","","Vessel Departure at First POL","05/05/2018","Qingdao, Qingdao","","","","","","Held","DFSU156558-2","20GP",
="",="6185488790","Confirmed*","Changyi Youxing Casting Company Limited","Qingdao (Intended)","Prince Rupert (Intended)","Memphis","","05/21/2018","Estimated","06/12/2018","Estimated","","","No event received","","","","","","","","","Unassigned","20GP",
="",="6185511510","Confirmed*","Changyi Youxing Casting Company Limited","Qingdao (Intended)","Prince Rupert (Intended)","Memphis","","05/25/2018","Estimated","06/18/2018","Estimated","","","No event received","","","","","","","","","Unassigned","20GP",
="",="6185511520","Confirmed*","Changyi Youxing Casting Company Limited","Qingdao (Intended)","Prince Rupert (Intended)","Memphis","","05/25/2018","Estimated","06/18/2018","Estimated","","","No event received","","","","","","","","","Unassigned","20GP",
="6179518010",="6179518010","Wait Listed*","Guangdong Foreign Trade Import & Export Company Limited","Zhapu","Prince Rupert","Memphis","XIN BEIJING-104-North","04/20/2018","Actual","05/31/2018","Estimated","","","Vessel Departure at Transshipment Port","05/09/2018","Ningbo, Ningbo","","","","","","Held","FSCU879069-9","40HQ",
="6179518010",="6179518010","Wait Listed*","Guangdong Foreign Trade Import & Export Company Limited","Zhapu","Prince Rupert","Memphis","XIN BEIJING-104-North","04/20/2018","Actual","05/31/2018","Estimated","","","Vessel Departure at Transshipment Port","05/09/2018","Ningbo, Ningbo","","","","","","Held","TCNU137006-8","40HQ",
="6179522280",="6179522280","Wait Listed*","Guangdong Foreign Trade Import & Export Company Limited","Zhapu","Prince Rupert","Memphis","XIN BEIJING-104-North","04/22/2018","Actual","05/31/2018","Estimated","","","Vessel Departure at Transshipment Port","05/09/2018","Ningbo, Ningbo","","","","","","Held","TLLU487706-2","40HQ",
="6179524840",="6179524840","Wait Listed*","Guangdong Foreign Trade Import & Export Company Limited","Zhapu","Long Beach","Memphis","COSCO KAOHSIUNG-059-East","04/29/2018","Actual","","Estimated","","","Vessel Departure at Transshipment Port","05/04/2018","Ningbo, Ningbo","","","","","","Held","TCNU557797-9","40HQ",
